source_1,source_2,axe,description,criticite
MATH531_CM8-exam,MATH531_IDU,normalisation_codes,Le module 'MATH531' est nommé 'MATH531_CM8-exam' dans ADE au lieu de 'MATH531_IDU_CM8-exam' (forme cohérente avec la maquette),majeur
INFO633_A16_G1,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A16_G1' dans ADE au lieu de 'INFO633_IDU_A16_G1' (forme cohérente avec la maquette),majeur
PROJ932_eval,PROJ932_IDU,normalisation_codes,Le module 'PROJ932' est nommé 'PROJ932_eval' dans ADE au lieu de 'PROJ932_IDU_eval' (forme cohérente avec la maquette),majeur
INFO633_CC3,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_CC3' dans ADE au lieu de 'INFO633_IDU_CC3' (forme cohérente avec la maquette),majeur
INFO633_A13_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A13_G2' dans ADE au lieu de 'INFO633_IDU_A13_G2' (forme cohérente avec la maquette),majeur
INFO631_INGE_CT,INFO631_IDU,normalisation_codes,Le module 'INFO631' est nommé 'INFO631_INGE_CT' dans ADE au lieu de 'INFO631_IDU_INGE_CT' (forme cohérente avec la maquette),majeur
ISOC931_TP_Restitution,ISOC931_IDU,normalisation_codes,Le module 'ISOC931' est nommé 'ISOC931_TP_Restitution' dans ADE au lieu de 'ISOC931_IDU_TP_Restitution' (forme cohérente avec la maquette),majeur
INFO633_A02_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A02_G2' dans ADE au lieu de 'INFO633_IDU_A02_G2' (forme cohérente avec la maquette),majeur
INFO633_A07_G1,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A07_G1' dans ADE au lieu de 'INFO633_IDU_A07_G1' (forme cohérente avec la maquette),majeur
ISOC731_INGE_Proj,ISOC731_IDU,normalisation_codes,Le module 'ISOC731' est nommé 'ISOC731_INGE_Proj' dans ADE au lieu de 'ISOC731_IDU_INGE_Proj' (forme cohérente avec la maquette),majeur
INFO732_INGE_EX,INFO732_IDU,normalisation_codes,Le module 'INFO732' est nommé 'INFO732_INGE_EX' dans ADE au lieu de 'INFO732_IDU_INGE_EX' (forme cohérente avec la maquette),majeur
INFO631_INGE_TPG2,INFO631_IDU,normalisation_codes,Le module 'INFO631' est nommé 'INFO631_INGE_TPG2' dans ADE au lieu de 'INFO631_IDU_INGE_TPG2' (forme cohérente avec la maquette),majeur
ISOC931_TD,ISOC931_IDU,normalisation_codes,Le module 'ISOC931' est nommé 'ISOC931_TD' dans ADE au lieu de 'ISOC931_IDU_TD' (forme cohérente avec la maquette),majeur
INFO501_CM_SNI-IDU,INFO501_IDU,normalisation_codes,Le module 'INFO501' est nommé 'INFO501_CM_SNI-IDU' dans ADE au lieu de 'INFO501_IDU_CM_SNI-IDU' (forme cohérente avec la maquette),majeur
PROJ531_TDG_4,PROJ531_IDU,normalisation_codes,Le module 'PROJ531' est nommé 'PROJ531_TDG_4' dans ADE au lieu de 'PROJ531_IDU_TDG_4' (forme cohérente avec la maquette),majeur
INFO832_INGE_Exam,INFO832_IDU,normalisation_codes,Le module 'INFO832' est nommé 'INFO832_INGE_Exam' dans ADE au lieu de 'INFO832_IDU_INGE_Exam' (forme cohérente avec la maquette),majeur
